"Jahr","StatZoneSort","StatZoneCd","StatZoneLang","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","ProjStatus","ProjStatusSort","EigentumsartSort","Eigentumsart","AnzWhg"
2009,1,"01101","Zähringerstrasse",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",1,"Öffentliche Hand",0
2009,1,"01101","Zähringerstrasse",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,1,"01101","Zähringerstrasse",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,1,"01101","Zähringerstrasse",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",4,"Natürliche Personen",0
2009,1,"01101","Zähringerstrasse",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,1,"01101","Zähringerstrasse",11,"011","Rathaus",1,"1","Kreis 1","Im Bau","6703",1,"Öffentliche Hand",0
2009,1,"01101","Zähringerstrasse",11,"011","Rathaus",1,"1","Kreis 1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,1,"01101","Zähringerstrasse",11,"011","Rathaus",1,"1","Kreis 1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,1,"01101","Zähringerstrasse",11,"011","Rathaus",1,"1","Kreis 1","Im Bau","6703",4,"Natürliche Personen",0
2009,1,"01101","Zähringerstrasse",11,"011","Rathaus",1,"1","Kreis 1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,2,"01102","Prediger",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",1,"Öffentliche Hand",0
2009,2,"01102","Prediger",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,2,"01102","Prediger",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,2,"01102","Prediger",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",4,"Natürliche Personen",0
2009,2,"01102","Prediger",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,2,"01102","Prediger",11,"011","Rathaus",1,"1","Kreis 1","Im Bau","6703",1,"Öffentliche Hand",0
2009,2,"01102","Prediger",11,"011","Rathaus",1,"1","Kreis 1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,2,"01102","Prediger",11,"011","Rathaus",1,"1","Kreis 1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,2,"01102","Prediger",11,"011","Rathaus",1,"1","Kreis 1","Im Bau","6703",4,"Natürliche Personen",0
2009,2,"01102","Prediger",11,"011","Rathaus",1,"1","Kreis 1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,3,"01103","Grossmünster",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",1,"Öffentliche Hand",0
2009,3,"01103","Grossmünster",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,3,"01103","Grossmünster",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,3,"01103","Grossmünster",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",4,"Natürliche Personen",0
2009,3,"01103","Grossmünster",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,3,"01103","Grossmünster",11,"011","Rathaus",1,"1","Kreis 1","Im Bau","6703",1,"Öffentliche Hand",0
2009,3,"01103","Grossmünster",11,"011","Rathaus",1,"1","Kreis 1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,3,"01103","Grossmünster",11,"011","Rathaus",1,"1","Kreis 1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,3,"01103","Grossmünster",11,"011","Rathaus",1,"1","Kreis 1","Im Bau","6703",4,"Natürliche Personen",0
2009,3,"01103","Grossmünster",11,"011","Rathaus",1,"1","Kreis 1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,4,"01104","Oberdorf",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",1,"Öffentliche Hand",0
2009,4,"01104","Oberdorf",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,4,"01104","Oberdorf",11,"011","Rathaus",1,"1","Kreis 1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
