"objid","name","kuerzel","ori","hali","vali","geometry"
"1","052 04","5204","0.0","1","2","POINT (2682039 1249355.9)"
"2","051 03","5103","0.0","1","2","POINT (2682372 1249058.1)"
"3","052 03","5203","0.0","1","2","POINT (2681826.2 1249143.2)"
"4","051 01","5101","0.0","1","2","POINT (2681982.2 1248796)"
"5","051 02","5102","0.0","1","2","POINT (2682329.5 1248767.6)"
"6","061 12","6112","0.0","1","2","POINT (2682960.2 1248902.2)"
"7","061 13","6113","0.0","1","2","POINT (2683385.2 1248703.9)"
"8","063 04","6304","0.0","1","2","POINT (2683654.8 1248370.8)"
"9","063 05","6305","0.0","1","2","POINT (2683959.2 1248236.1)"
"10","071 04","7104","0.0","1","2","POINT (2684271.2 1248073.1)"
"11","051 04","5104","0.0","1","2","POINT (2682868 1248611.8)"
"12","051 05","5105","0.0","1","2","POINT (2682542 1248540.9)"
"13","051 06","5106","0.0","1","2","POINT (2682754.8 1248385)"
"14","014 01","1401","0.0","1","2","POINT (2683151.5 1248059)"
"15","012 01","1201","0.0","1","2","POINT (2683477.5 1248023.5)"
"16","013 01","1301","0.0","1","2","POINT (2683187 1247633.8)"
"17","011 01","1101","0.0","1","2","POINT (2683456.2 1247740.1)"
"18","011 02","1102","0.0","1","2","POINT (2683513 1247541.6)"
"19","011 03","1103","0.0","1","2","POINT (2683484.5 1247314.9)"
"20","012 02","1202","0.0","1","2","POINT (2683846 1247449.5)"
"21","071 05","7105","0.0","1","2","POINT (2684349 1247640.9)"
"22","072 04","7204","0.0","1","2","POINT (2684526.2 1247286.5)"
"23","013 02","1302","0.0","1","2","POINT (2683215.2 1247251.1)"
"24","011 04","1104","0.0","1","2","POINT (2683590.8 1247031.4)"
"25","013 03","1303","0.0","1","2","POINT (2683250.8 1246974.8)"
"26","014 04","1404","0.0","1","2","POINT (2682974.2 1247137.8)"
"27","014 02","1402","0.0","1","2","POINT (2682825.5 1247492)"
"28","092 15","9215","0.0","1","2","POINT (2678424.8 1249844.9)"
"29","092 01","9201","0.0","1","2","POINT (2677680.8 1249178.8)"
"30","092 02","9202","0.0","1","2","POINT (2678297.2 1249249.5)"
"31","092 06","9206","0.0","1","2","POINT (2678885.5 1249405.5)"
"32","092 09","9209","0.0","1","2","POINT (2679565.8 1249285)"
"33","092 10","9210","0.0","1","2","POINT (2679459.5 1249022.8)"
"34","092 05","9205","0.0","1","2","POINT (2678729.5 1249072.4)"
"35","092 03","9203","0.0","1","2","POINT (2677645.2 1248356.6)"
"36","119 07","11907","0.0","1","2","POINT (2684087 1253012.5)"
"37","021 10","2110","0.0","1","2","POINT (2682102.8 1243892)"
"38","101 08","10108","0.0","1","2","POINT (2681089.2 1250560.5)"
"39","102 01","10201","0.0","1","2","POINT (2681535.8 1250326.8)"
"40","102 03","10203","0.0","1","2","POINT (2682173.5 1250553.5)"
"41","061 01","6101","0.0","1","2","POINT (2682584.5 1250780.2)"
"42","061 02","6102","0.0","1","2","POINT (2682691 1251177.1)"
"43","061 03","6103","0.0","1","2","POINT (2682981.5 1250978.6)"
"44","061 05","6105","0.0","1","2","POINT (2683179.8 1250617.2)"
"45","061 04","6104","0.0","1","2","POINT (2682804.2 1250425.9)"
"46","061 07","6107","0.0","1","2","POINT (2682988.5 1250142.4)"
"47","061 09","6109","0.0","1","2","POINT (2683463.2 1250248.8)"
"48","063 01","6301","0.0","1","2","POINT (2684384.5 1249922.8)"
"49","063 02","6302","0.0","1","2","POINT (2683732.5 1249603.9)"
"50","063 06","6306","0.0","1","2","POINT (2683931 1248824.4)"
"51","063 07","6307","0.0","1","2","POINT (2684200.2 1248994.4)"
"52","071 03","7103","0.0","1","2","POINT (2684377.5 1248455.8)"
"53","092 07","9207","0.0","1","2","POINT (2678403.5 1250475.5)"
"54","101 04","10104","0.0","1","2","POINT (2679289.2 1250581.9)"
"55","101 06","10106","0.0","1","2","POINT (2680068.8 1250433)"
"56","101 07","10107","0.0","1","2","POINT (2680657 1250007.8)"
"57","102 02","10202","0.0","1","2","POINT (2681613.8 1249816.5)"
"58","102 04","10204","0.0","1","2","POINT (2682301 1249944)"
"59","061 06","6106","0.0","1","2","POINT (2682790 1249844.8)"
"60","102 06","10206","0.0","1","2","POINT (2682648.2 1249610.9)"
"61","061 08","6108","0.0","1","2","POINT (2683265 1249497.5)"
"62","061 11","6111","0.0","1","2","POINT (2682960.2 1249263.8)"
"63","061 10","6110","0.0","1","2","POINT (2683307.5 1249079.4)"
"64","063 03","6303","0.0","1","2","POINT (2683619.2 1248951.9)"
"65","092 16","9216","0.0","1","2","POINT (2679296.5 1250036.1)"
"66","092 08","9208","0.0","1","2","POINT (2679863.2 1249851.9)"
"67","052 01","5201","0.0","1","2","POINT (2680671.2 1249483.4)"
"68","052 02","5202","0.0","1","2","POINT (2681401 1249355.9)"
"69","102 05","10205","0.0","1","2","POINT (2682131 1249625.1)"
"70","102 07","10207","0.0","1","2","POINT (2682549.2 1249285)"
"71","092 04","9204","0.0","1","2","POINT (2678602 1248484.2)"
"72","092 11","9211","0.0","1","2","POINT (2679027 1248470)"
"73","092 12","9212","0.0","1","2","POINT (2679417 1248703.9)"
"74","044 01","4401","0.0","1","2","POINT (2680813 1248845.6)"
"75","092 14","9214","0.0","1","2","POINT (2680139.8 1248817.2)"
"76","044 02","4402","0.0","1","2","POINT (2680798.8 1248363.8)"
"77","044 05","4405","0.0","1","2","POINT (2681479 1248413.2)"
"78","042 01","4201","0.0","1","2","POINT (2681963.2 1248475.4)"
"79","042 06","4206","0.0","1","2","POINT (2682611.8 1248016.6)"
"80","092 13","9213","0.0","1","2","POINT (2679813.8 1248604.6)"
"81","091 07","9107","0.0","1","2","POINT (2679828 1248278.6)"
"82","091 04","9104","0.0","1","2","POINT (2679176 1248030.6)"
"83","091 03","9103","0.0","1","2","POINT (2678672.8 1247896)"
"84","091 01","9101","0.0","1","2","POINT (2678346.8 1247541.6)"
